Survived,Pclass,Sex,Age,Age_months,SibSp,Parch,Fare,Embarked,age_category,male,female,child,teenager,adult,senior,yes_survived,no_survived
0,3,0,22.0,264.0,1,0,7.25,0,2,1,0,0,0,1,0,1,0
1,1,1,38.0,456.0,1,0,71.2833,1,2,0,1,0,0,1,0,0,1
1,3,1,26.0,312.0,0,0,7.925,0,2,0,1,0,0,1,0,0,1
1,1,1,35.0,420.0,1,0,53.1,0,2,0,1,0,0,1,0,0,1
0,3,0,35.0,420.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,27.0,324.0,0,0,8.4583,2,2,1,0,0,0,1,0,1,0
0,1,0,54.0,648.0,0,0,51.8625,0,2,1,0,0,0,1,0,1,0
0,3,0,2.0,24.0,3,1,21.075,0,0,1,0,1,0,0,0,1,0
1,3,1,27.0,324.0,0,2,11.1333,0,2,0,1,0,0,1,0,0,1
1,2,1,14.0,168.0,1,0,30.0708,1,1,0,1,0,1,0,0,0,1
1,3,1,4.0,48.0,1,1,16.7,0,0,0,1,1,0,0,0,0,1
1,1,1,58.0,696.0,0,0,26.55,0,2,0,1,0,0,1,0,0,1
0,3,0,20.0,240.0,0,0,8.05,0,2,1,0,0,0,1,0,1,0
0,3,0,39.0,468.0,1,5,31.275,0,2,1,0,0,0,1,0,1,0
0,3,1,14.0,168.0,0,0,7.8542,0,1,0,1,0,1,0,0,1,0
1,2,1,55.0,660.0,0,0,16.0,0,2,0,1,0,0,1,0,0,1
0,3,0,2.0,24.0,4,1,29.125,2,0,1,0,1,0,0,0,1,0
1,2,0,31.0,372.0,0,0,13.0,0,2,1,0,0,0,1,0,0,1
0,3,1,31.0,372.0,1,0,18.0,0,2,0,1,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.225,1,2,0,1,0,0,1,0,0,1
0,2,0,35.0,420.0,0,0,26.0,0,2,1,0,0,0,1,0,1,0
1,2,0,34.0,408.0,0,0,13.0,0,2,1,0,0,0,1,0,0,1
1,3,1,15.0,180.0,0,0,8.0292,2,1,0,1,0,1,0,0,0,1
1,1,0,28.0,336.0,0,0,35.5,0,2,1,0,0,0,1,0,0,1
0,3,1,8.0,96.0,3,1,21.075,0,0,0,1,1,0,0,0,1,0
1,3,1,38.0,456.0,1,5,31.3875,0,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,7.225,1,2,1,0,0,0,1,0,1,0
0,1,0,19.0,228.0,3,2,263.0,0,2,1,0,0,0,1,0,1,0
1,3,1,22.0,264.0,0,0,7.8792,2,2,0,1,0,0,1,0,0,1
0,3,0,27.0,324.0,0,0,7.8958,0,2,1,0,0,0,1,0,1,0
0,1,0,40.0,480.0,0,0,27.7208,1,2,1,0,0,0,1,0,1,0
1,1,1,35.0,420.0,1,0,146.5208,1,2,0,1,0,0,1,0,0,1
1,3,1,22.0,264.0,0,0,7.75,2,2,0,1,0,0,1,0,0,1
0,2,0,66.0,792.0,0,0,10.5,0,3,1,0,0,0,0,1,1,0
